No of Employee,29,,
No of Buses,5,,
,,,
EMPLOYEE ID,DROP LOCATION,START TIME WINDOW,END TIME WINDOW
E100,"Devegowda petrol bunk, Gowdanapalya, Uttarahalli Hobli, Bengaluru, Karnataka, India",10.20,11.20
E101,"RNSIT, Channasandra, RR Nagar, Bengaluru, Karnataka, India",10.20,11.20
E102,"Kathriguppe Main Road, Vidyapeeta Layout, Ashok Nagar, Banashankari Stage I, Banashankari, Bengaluru, Karnataka, India",10.20,11.20
E103,"PES College Road, Phase 1, Banashankari Stage I, Banashankari, Bengaluru, Karnataka, India",10.20,11.20
E104,"Hosakerehalli, Bengaluru, Karnataka, India",10.20,11.20
E105,"Bata Show Room, Jayanagar, Bangalore, Karnataka, India",10.20,11.20
E106,"Kathriguppe Circle, Phase 3, Banashankari, Bengaluru, Karnataka",10.20,11.20
E107,"Ittamadu, Banashankari, Bengaluru, Karnataka, India",10.20,11.20
E108,"Ittamadu, Banashankari, Bengaluru, Karnataka, India",10.20,11.20
E109,"Janta Bazaar, 27th A Cross Road, 4th Block, Jayanagar, Bengaluru, Karnataka, India",10.20,11.20
E110,"Kathriguppe Main Road, Vidyapeeta Layout, Ashok Nagar, Banashankari Stage I, Banashankari, Bengaluru, Karnataka, India",10.20,11.20
E111,"Hosakerehalli, Bengaluru, Karnataka, India",10.20,11.20
E112,"Double Road BEML Layout, BEML Layout, Rajarajeshwarinagar, Bengaluru, Karnataka",10.20,11.20
E113,"Hosakerehalli, Bengaluru, Karnataka, India",10.20,11.20
E114,"Kathriguppe Main Road, Vidyapeeta Layout, Ashok Nagar, Banashankari Stage I, Banashankari, Bengaluru, Karnataka, India",10.20,11.20
E115,"Sri Veerabhadreshwara Theatre, 8th Main Road, BEML Layout, Basaveshwar Nagar, Bengaluru, Karnataka, India",10.20,11.20
E116,"Mantri Apartments, Bannerghatta Main Road, Stage 2, BTM 2nd Stage, Bengaluru, Karnataka, India",11.40,12.20
E117,"Hosakerehalli, Bengaluru, Karnataka, India",11.40,12.20
E118,"Sri Veerabhadreshwara Theatre, 8th Main Road, BEML Layout, Basaveshwar Nagar, Bengaluru, Karnataka, India",11.40,12.20
E119,"Mantri Apartments, Bannerghatta Main Road, Stage 2, BTM 2nd Stage, Bengaluru, Karnataka, India",11.40,12.20
E120,"Kathriguppe Main Road, Vidyapeeta Layout, Ashok Nagar, Banashankari Stage I, Banashankari, Bengaluru, Karnataka, India",11.40,12.20
E121,"Kadirenahalli, Banashankari, Bengaluru, Karnataka, India",11.40,12.20
E122,"Kathriguppe Main Road, Vidyapeeta Layout, Ashok Nagar, Banashankari Stage I, Banashankari, Bengaluru, Karnataka, India",10.20,11.20
E123,"Mantri Apartments, Bannerghatta Main Road, Stage 2, BTM 2nd Stage, Bengaluru, Karnataka, India",10.20,11.20
E124,"RNSIT, Channasandra, RR Nagar, Bengaluru, Karnataka, India",10.20,11.20
E125,"Uttarahalli Main Road, Manjunath Nagar, Samruddi Layout(Enclave), 2nd Stage, Uttarahalli Hobli, Bengaluru, Karnataka, India",10.20,11.20
E126,"Sri Veerabhadreshwara Theatre, 8th Main Road, BEML Layout, Basaveshwar Nagar, Bengaluru, Karnataka, India",10.20,11.20
E127,"Hosakerehalli, Bengaluru, Karnataka, India",10.20,11.20
E128,"Uttarahalli Road, Fort Kengeri, Kengeri Satellite Town, Bengaluru, Karnataka, India",10.20,11.20
,,,
BUS No.,BUS CAPACITY,,
v1,30,,
v2,36,,
v3,36,,
v4,36,,
v5,36,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
END POINT,LOCATION,,
Office1,"Yelachenahalli Metro Station, Kanakapura Road, Jarganahalli, Yelachenahalli, Kumaraswamy Layout, Bengaluru, Karnataka",,
Office2,"42, Bidadi Industrial area, 2nd Phase, Sector II, Bidadi Hobli, Ramanagara Taluk, Gollara Palya, Karnataka 562109",,
